"emp_id","case_id","status","status_reason","adherence_date"
67001515,955446,"Agent Error","Incorrect benefit code input","2026-03-05"
67001515,901962,"Cancelled","Client Request / No longer needed","2026-03-16"
67001515,902572,"Cancelled","Client Request / No longer needed","2026-03-25"
67001515,866559,"Missed SLA","Underwriter Delay","2026-03-25"
67001515,916010,"Missed SLA","Underwriter Delay","2026-03-31"
67001515,831515,"On-HOLD","Pending Clarification from the Underwriter","2026-03-05"
67001515,883987,"Agent Error","Incorrect address input","2026-03-11"
67001515,950955,"On-HOLD","Pending Clarification from the Underwriter","2026-03-30"
67001515,950896,"On-HOLD","Pending Clarification from the Underwriter","2026-03-30"
67001701,899431,"Missed SLA","Agent delay","2026-03-26"
67001701,920022,"Missed SLA","Underwriter Delay","2026-03-19"
67001701,876102,"Missed SLA","Underwriter Delay","2026-03-27"
67001701,874573,"On-HOLD","Pending Clarification from the Underwriter","2026-03-26"
67001701,896589,"Missed SLA","Underwriter Delay","2026-03-24"
67001701,956252,"On-HOLD","Pending Clarification from the Underwriter","2026-03-27"
67001701,872627,"Agent Error","Incorrect benefit code input","2026-03-23"
67001701,922345,"Cancelled","Client Request / No longer needed","2026-03-11"
67001701,834244,"Agent Error","Incorrect address input","2026-03-02"
67001701,898816,"Cancelled","Client Request / No longer needed","2026-03-30"
67001701,823003,"On-HOLD","Pending Clarification from the Underwriter","2026-03-04"
67001701,877770,"On-HOLD","Pending Clarification from the Underwriter","2026-03-05"
67001701,911195,"Agent Error","Incorrect benefit code input","2026-03-13"
67001701,936174,"Agent Error","Incorrect address input","2026-03-05"
67001701,967087,"Missed SLA","Agent delay","2026-03-23"
67001441,876780,"On-HOLD","Pending Clarification from the Underwriter","2026-03-02"
67001441,979159,"Missed SLA","Underwriter Delay","2026-03-24"
67001441,929769,"Agent Error","Incorrect benefit code input","2026-03-16"
67001441,870787,"On-HOLD","Pending Clarification from the Underwriter","2026-03-10"
67001441,936187,"Missed SLA","Underwriter Delay","2026-03-18"
67001441,949932,"Cancelled","Client Request / No longer needed","2026-03-12"
67001441,881826,"Cancelled","Client Request / No longer needed","2026-03-17"
67001441,819454,"Agent Error","Incorrect address input","2026-03-17"
67001441,886188,"Agent Error","Incorrect address input","2026-03-18"
67001441,856302,"Agent Error","Incorrect benefit code input","2026-03-25"
67001441,915559,"Agent Error","Incorrect benefit code input","2026-03-31"
67001441,828548,"Cancelled","Client Request / No longer needed","2026-03-04"
67001199,981391,"Agent Error","Incorrect benefit code input","2026-03-16"
67001199,837924,"Agent Error","Incorrect benefit code input","2026-03-04"
67001199,844293,"Cancelled","Client Request / No longer needed","2026-03-26"
67001199,815497,"Missed SLA","Underwriter Delay","2026-03-26"
67001199,823602,"Missed SLA","Underwriter Delay","2026-03-13"
67001199,882435,"Agent Error","Incorrect address input","2026-03-13"
67001199,844259,"Cancelled","Client Request / No longer needed","2026-03-23"
67001199,983136,"Cancelled","Client Request / No longer needed","2026-03-06"
67001199,924114,"Cancelled","Client Request / No longer needed","2026-03-31"
67001199,850169,"Missed SLA","Agent delay","2026-03-27"
67001199,899204,"Cancelled","Client Request / No longer needed","2026-03-13"
67001474,810085,"Agent Error","Incorrect benefit code input","2026-03-02"
67001474,835099,"Cancelled","Client Request / No longer needed","2026-03-17"
67001474,873451,"On-HOLD","Pending Clarification from the Underwriter","2026-03-17"
67001474,909048,"Cancelled","Client Request / No longer needed","2026-03-23"
67001474,905015,"On-HOLD","Pending Clarification from the Underwriter","2026-03-19"
67001474,972114,"On-HOLD","Pending Clarification from the Underwriter","2026-03-04"
67001474,933865,"On-HOLD","Pending Clarification from the Underwriter","2026-03-18"
67001474,905705,"Missed SLA","Agent delay","2026-03-27"
67001211,928661,"Cancelled","Client Request / No longer needed","2026-03-26"
67001211,827659,"Cancelled","Client Request / No longer needed","2026-03-24"
67001211,909376,"On-HOLD","Pending Clarification from the Underwriter","2026-03-05"
67001211,906428,"Agent Error","Incorrect benefit code input","2026-03-19"
67001211,963842,"On-HOLD","Pending Clarification from the Underwriter","2026-03-25"
67001211,952781,"On-HOLD","Pending Clarification from the Underwriter","2026-03-30"
67001211,967170,"Cancelled","Client Request / No longer needed","2026-03-24"
67001211,889149,"Cancelled","Client Request / No longer needed","2026-03-18"
67001211,827420,"Missed SLA","Agent delay","2026-03-25"
67001211,852587,"Agent Error","Incorrect benefit code input","2026-03-12"
67001211,820361,"Missed SLA","Underwriter Delay","2026-03-19"
67001211,810338,"Missed SLA","Underwriter Delay","2026-03-27"
67001579,849495,"Agent Error","Incorrect benefit code input","2026-03-24"
67001579,905635,"Agent Error","Incorrect benefit code input","2026-03-25"
67001579,893049,"Agent Error","Incorrect benefit code input","2026-03-25"
67001579,983317,"Agent Error","Incorrect benefit code input","2026-03-02"
67001579,938825,"Agent Error","Incorrect address input","2026-03-27"
67001579,953937,"On-HOLD","Pending Clarification from the Underwriter","2026-03-11"
67001579,832209,"On-HOLD","Pending Clarification from the Underwriter","2026-03-06"
67001579,851858,"Agent Error","Incorrect benefit code input","2026-03-03"
67001579,994101,"Missed SLA","Agent delay","2026-03-25"
67001579,816269,"Missed SLA","Underwriter Delay","2026-03-05"
67001579,965553,"Missed SLA","Agent delay","2026-03-30"
67001579,877969,"Missed SLA","Agent delay","2026-03-19"
67001579,946305,"Cancelled","Client Request / No longer needed","2026-03-24"
67001579,825495,"Missed SLA","Underwriter Delay","2026-03-06"
67001579,911546,"Agent Error","Incorrect address input","2026-03-24"
67001630,830887,"Cancelled","Client Request / No longer needed","2026-03-11"
67001630,972693,"On-HOLD","Pending Clarification from the Underwriter","2026-03-05"
