"emp_id","transaction_date","transactions_completed","status"
67001515,"2026-03-02",0,"Absent"
67001515,"2026-03-03",56,"Failed"
67001515,"2026-03-04",62,"Passed"
67001515,"2026-03-05",93,"Passed"
67001515,"2026-03-06",80,"Passed"
67001515,"2026-03-09",0,"Absent"
67001515,"2026-03-10",0,"Absent"
67001515,"2026-03-11",62,"Passed"
67001515,"2026-03-12",35,"Failed"
67001515,"2026-03-13",54,"Failed"
67001515,"2026-03-16",47,"Failed"
67001515,"2026-03-17",94,"Passed"
67001515,"2026-03-18",95,"Passed"
67001515,"2026-03-19",90,"Passed"
67001515,"2026-03-23",64,"Passed"
67001515,"2026-03-24",62,"Passed"
67001515,"2026-03-25",53,"Failed"
67001515,"2026-03-26",86,"Passed"
67001515,"2026-03-27",56,"Failed"
67001515,"2026-03-30",74,"Passed"
67001515,"2026-03-31",52,"Failed"
67001701,"2026-03-02",80,"Passed"
67001701,"2026-03-03",80,"Passed"
67001701,"2026-03-04",79,"Passed"
67001701,"2026-03-05",85,"Passed"
67001701,"2026-03-06",85,"Passed"
67001701,"2026-03-09",48,"Failed"
67001701,"2026-03-10",89,"Passed"
67001701,"2026-03-11",89,"Passed"
67001701,"2026-03-12",48,"Failed"
67001701,"2026-03-13",38,"Failed"
67001701,"2026-03-16",0,"Absent"
67001701,"2026-03-17",51,"Failed"
67001701,"2026-03-18",93,"Passed"
67001701,"2026-03-19",0,"Absent"
67001701,"2026-03-23",0,"Absent"
67001701,"2026-03-24",71,"Passed"
67001701,"2026-03-25",49,"Failed"
67001701,"2026-03-26",47,"Failed"
67001701,"2026-03-27",71,"Passed"
67001701,"2026-03-30",0,"Absent"
67001701,"2026-03-31",60,"Passed"
67001441,"2026-03-02",36,"Failed"
67001441,"2026-03-03",75,"Passed"
67001441,"2026-03-04",34,"Failed"
67001441,"2026-03-05",91,"Passed"
67001441,"2026-03-06",39,"Failed"
67001441,"2026-03-09",33,"Failed"
67001441,"2026-03-10",0,"Absent"
67001441,"2026-03-11",44,"Failed"
67001441,"2026-03-12",0,"Absent"
67001441,"2026-03-13",60,"Passed"
67001441,"2026-03-16",0,"Absent"
67001441,"2026-03-17",73,"Passed"
67001441,"2026-03-18",36,"Failed"
67001441,"2026-03-19",61,"Passed"
67001441,"2026-03-23",95,"Passed"
67001441,"2026-03-24",76,"Passed"
67001441,"2026-03-25",56,"Failed"
67001441,"2026-03-26",54,"Failed"
67001441,"2026-03-27",0,"Absent"
67001441,"2026-03-30",94,"Passed"
67001441,"2026-03-31",59,"Failed"
67001199,"2026-03-02",0,"Absent"
67001199,"2026-03-03",91,"Passed"
67001199,"2026-03-04",70,"Passed"
67001199,"2026-03-05",43,"Failed"
67001199,"2026-03-06",51,"Failed"
67001199,"2026-03-09",0,"Absent"
67001199,"2026-03-10",31,"Failed"
67001199,"2026-03-11",46,"Failed"
67001199,"2026-03-12",57,"Failed"
67001199,"2026-03-13",58,"Failed"
67001199,"2026-03-16",47,"Failed"
67001199,"2026-03-17",46,"Failed"
67001199,"2026-03-18",67,"Passed"
67001199,"2026-03-19",0,"Absent"
67001199,"2026-03-23",40,"Failed"
67001199,"2026-03-24",86,"Passed"
67001199,"2026-03-25",35,"Failed"
67001199,"2026-03-26",77,"Passed"
67001199,"2026-03-27",52,"Failed"
67001199,"2026-03-30",62,"Passed"
67001199,"2026-03-31",61,"Passed"
67001474,"2026-03-02",51,"Failed"
67001474,"2026-03-03",49,"Failed"
